epoch,accuracy,dice_coefficient,learning_rate,loss,val_accuracy,val_dice_coefficient,val_loss
0,0.36986011266708374,0.06216182932257652,9.999999747378752e-05,0.9386208653450012,0.0286712646484375,0.04102209210395813,0.9617812037467957
1,0.2460433542728424,0.08743337541818619,9.999999747378752e-05,0.913038969039917,0.04219309613108635,0.0488959439098835,0.9557304382324219
2,0.1872815191745758,0.09551021456718445,9.999999747378752e-05,0.9050634503364563,0.02767435647547245,0.03819671645760536,0.9669208526611328
3,0.15627704560756683,0.10785377770662308,9.999999747378752e-05,0.8930402398109436,0.05781300738453865,0.04849798604846001,0.961394727230072
4,0.14876672625541687,0.11986532807350159,9.999999747378752e-05,0.8811352252960205,0.08584848791360855,0.04655486345291138,0.9643494486808777
5,0.11301098763942719,0.12680359184741974,9.999999747378752e-05,0.8743786811828613,0.0434468574821949,0.0534648597240448,0.9592671990394592
6,0.10205933451652527,0.13569557666778564,9.999999747378752e-05,0.8654517531394958,0.08116912841796875,0.09043600410223007,0.912457287311554
7,0.09526385366916656,0.14149697124958038,9.999999747378752e-05,0.8596718907356262,0.10455068200826645,0.0996076762676239,0.9107239246368408
8,0.08693879842758179,0.1568583995103836,9.999999747378752e-05,0.8450542688369751,0.02948760986328125,0.08803275227546692,0.9167525172233582
9,0.07350112497806549,0.16877737641334534,9.999999747378752e-05,0.8331170678138733,0.0315450020134449,0.09800346940755844,0.9141516089439392
10,0.07507717609405518,0.1932888776063919,9.999999747378752e-05,0.8086925745010376,0.03275299072265625,0.14632803201675415,0.8645063042640686
11,0.059915948659181595,0.18821515142917633,9.999999747378752e-05,0.8142529726028442,0.03634897992014885,0.20124192535877228,0.8077356815338135
12,0.049499280750751495,0.21753883361816406,9.999999747378752e-05,0.7845268249511719,0.03924306109547615,0.19926707446575165,0.8099692463874817
13,0.07755903899669647,0.22097112238407135,9.999999747378752e-05,0.7811728715896606,0.066253662109375,0.25895461440086365,0.7450418472290039
14,0.061690591275691986,0.22723454236984253,9.999999747378752e-05,0.7759653925895691,0.0412089042365551,0.26131394505500793,0.7424210906028748
15,0.06848213821649551,0.2636825740337372,9.999999747378752e-05,0.7399840950965881,0.0537261962890625,0.19814211130142212,0.8067424893379211
16,0.0759177953004837,0.2847447097301483,9.999999747378752e-05,0.7198167443275452,0.05649058148264885,0.2328876107931137,0.767993152141571
17,0.06673131138086319,0.28819453716278076,9.999999747378752e-05,0.7153751850128174,0.0728251114487648,0.2693052589893341,0.7346681952476501
18,0.0706072747707367,0.3066190481185913,9.999999747378752e-05,0.6969859004020691,0.0426991768181324,0.29319146275520325,0.7109892964363098
19,0.08813268691301346,0.2907096743583679,9.999999747378752e-05,0.7139275074005127,0.0418904609978199,0.30809375643730164,0.6955103278160095
20,0.09676291793584824,0.32962119579315186,9.999999747378752e-05,0.677128255367279,0.07108306884765625,0.3417247235774994,0.6627283692359924
21,0.14131511747837067,0.34449994564056396,9.999999747378752e-05,0.6619712710380554,0.17099253833293915,0.37514805793762207,0.627131998538971
22,0.10510392487049103,0.38135838508605957,9.999999747378752e-05,0.6249938011169434,0.1400655061006546,0.4495384693145752,0.5576818585395813
23,0.17426300048828125,0.3828130066394806,9.999999747378752e-05,0.6230185627937317,0.06798553466796875,0.42746853828430176,0.5831331610679626
24,0.1688685566186905,0.43002045154571533,9.999999747378752e-05,0.5787407755851746,0.0769399031996727,0.49990788102149963,0.5108610391616821
25,0.15219371020793915,0.4196535348892212,9.999999747378752e-05,0.5878523588180542,0.2365977019071579,0.5034089088439941,0.5038685202598572
26,0.13904964923858643,0.42322108149528503,9.999999747378752e-05,0.5854279398918152,0.0702158585190773,0.5060383677482605,0.5077162384986877
27,0.15477128326892853,0.4633219540119171,9.999999747378752e-05,0.5447627305984497,0.06240590289235115,0.537156343460083,0.47755441069602966
28,0.20672352612018585,0.49228692054748535,9.999999747378752e-05,0.5170556902885437,0.05242665484547615,0.5506684184074402,0.45705318450927734
