epoch,accuracy,dice_coefficient,learning_rate,loss,val_accuracy,val_dice_coefficient,val_loss
0,0.233185276389122,0.06295648217201233,9.999999747378752e-05,0.9378714561462402,0.03759511187672615,0.04792845621705055,0.9530706405639648
1,0.2089286595582962,0.11141258478164673,9.999999747378752e-05,0.8897689580917358,0.0302251186221838,0.04085489735007286,0.9671522974967957
2,0.15513749420642853,0.15644574165344238,9.999999747378752e-05,0.8461359143257141,0.03693898394703865,0.05374804511666298,0.955516517162323
3,0.13353267312049866,0.17981544137001038,9.999999747378752e-05,0.8230855464935303,0.026763916015625,0.03373570367693901,0.9915337562561035
4,0.14208984375,0.20841442048549652,9.999999747378752e-05,0.795467734336853,0.0815378800034523,0.038818780332803726,0.9978404641151428
5,0.11255807429552078,0.21962030231952667,9.999999747378752e-05,0.7851905226707458,0.03695933148264885,0.04801933094859123,0.9848464131355286
6,0.08949742466211319,0.2526955306529999,1.9999999494757503e-05,0.7518182992935181,0.0377553291618824,0.052940841764211655,0.9906089901924133
7,0.08611228317022324,0.25523850321769714,1.9999999494757503e-05,0.7492073178291321,0.0333150215446949,0.03199442848563194,1.0131291151046753
8,0.07582855224609375,0.24835503101348877,1.9999999494757503e-05,0.7564653158187866,0.0241063442081213,0.022094979882240295,1.0159144401550293
9,0.08004298061132431,0.2663467228412628,1.9999999494757503e-05,0.7376959323883057,0.03768157958984375,0.03324254974722862,1.019721508026123
10,0.07909855991601944,0.2705698311328888,1.9999999494757503e-05,0.7347717881202698,0.0365804024040699,0.0879419818520546,0.9408931732177734
11,0.07673483341932297,0.285223126411438,1.9999999494757503e-05,0.7202436327934265,0.0356597900390625,0.07952676713466644,0.9474167227745056
12,0.07691308110952377,0.27536165714263916,1.9999999494757503e-05,0.7297796607017517,0.03978729248046875,0.1289682239294052,0.8937406539916992
13,0.07657206803560257,0.31083375215530396,1.9999999494757503e-05,0.6943179965019226,0.04653167724609375,0.24192051589488983,0.780663013458252
14,0.06371793150901794,0.28085002303123474,1.9999999494757503e-05,0.7229562997817993,0.0403900146484375,0.20060719549655914,0.8191960453987122
15,0.060150377452373505,0.29769012331962585,1.9999999494757503e-05,0.7063881158828735,0.04698944091796875,0.2866431474685669,0.7315037250518799
16,0.06908093392848969,0.3089699149131775,1.9999999494757503e-05,0.6960561871528625,0.05929310992360115,0.3149070143699646,0.6965969204902649
17,0.06270276010036469,0.3203035593032837,1.9999999494757503e-05,0.6845834255218506,0.05016326904296875,0.3188917934894562,0.6894314289093018
18,0.05873292684555054,0.31733784079551697,1.9999999494757503e-05,0.6872519254684448,0.03663380816578865,0.2491820603609085,0.7539558410644531
19,0.06184548884630203,0.333915650844574,1.9999999494757503e-05,0.6716519594192505,0.07277679443359375,0.3558914363384247,0.6506651043891907
20,0.05903949216008186,0.32512325048446655,1.9999999494757503e-05,0.6800174713134766,0.06289926916360855,0.37719857692718506,0.6284587979316711
21,0.05951135978102684,0.3574883043766022,1.9999999494757503e-05,0.6477516889572144,0.0514424629509449,0.30134832859039307,0.7075769305229187
22,0.06142564117908478,0.35355570912361145,1.9999999494757503e-05,0.6524289846420288,0.06527964025735855,0.3386472165584564,0.6667182445526123
23,0.062248460948467255,0.3532209098339081,1.9999999494757503e-05,0.6529226303100586,0.06464894860982895,0.37186384201049805,0.6350788474082947
24,0.0621846504509449,0.37021538615226746,1.9999999494757503e-05,0.6348369717597961,0.07801055908203125,0.4011319875717163,0.6071885228157043
25,0.05268767476081848,0.33929699659347534,1.9999999494757503e-05,0.6671086549758911,0.0575052909553051,0.3792894780635834,0.6263694167137146
26,0.057896699756383896,0.36865440011024475,1.9999999494757503e-05,0.6373682022094727,0.0578816719353199,0.4052938222885132,0.600466787815094
27,0.05751661956310272,0.359873503446579,1.9999999494757503e-05,0.6472024321556091,0.06302642822265625,0.32407689094543457,0.6804259419441223
28,0.055983804166316986,0.3654802739620209,1.9999999494757503e-05,0.6414510607719421,0.04571533203125,0.31954070925712585,0.68443363904953
29,0.05216887593269348,0.34563103318214417,1.9999999494757503e-05,0.660783052444458,0.06087493896484375,0.36074671149253845,0.6480600237846375
30,0.062159452587366104,0.3835127353668213,1.9999999494757503e-05,0.6217760443687439,0.06462351232767105,0.43208226561546326,0.5723081231117249
31,0.05920363962650299,0.38556668162345886,1.9999999494757503e-05,0.6224938631057739,0.0509033203125,0.3944186270236969,0.6130881905555725
32,0.05464935302734375,0.3802039921283722,1.9999999494757503e-05,0.6260607242584229,0.05276743695139885,0.38093146681785583,0.6244942545890808
33,0.05319352447986603,0.37974488735198975,1.9999999494757503e-05,0.6255886554718018,0.0471954345703125,0.35276737809181213,0.65509033203125
34,0.051452867686748505,0.37605583667755127,1.9999999494757503e-05,0.6298127770423889,0.0539703369140625,0.3715554177761078,0.6341689229011536
35,0.05790409818291664,0.38907262682914734,1.9999999494757503e-05,0.617039680480957,0.06157175824046135,0.4417074918746948,0.5676376819610596
36,0.06004079058766365,0.39855533838272095,1.9999999494757503e-05,0.6076987981796265,0.0619405098259449,0.4285687506198883,0.5801729559898376
37,0.05738668888807297,0.4046114683151245,1.9999999494757503e-05,0.6040239930152893,0.0571339912712574,0.4779154360294342,0.5271173119544983
38,0.05620667338371277,0.41217994689941406,1.9999999494757503e-05,0.5939551591873169,0.0485941581428051,0.4261586368083954,0.5824476480484009
39,0.0576273612678051,0.4201749861240387,1.9999999494757503e-05,0.5859931707382202,0.05095164105296135,0.40105319023132324,0.6059092879295349
40,0.05510295554995537,0.41246476769447327,1.9999999494757503e-05,0.5936569571495056,0.0546010322868824,0.43812140822410583,0.5701823830604553
41,0.05829319730401039,0.40201324224472046,1.9999999494757503e-05,0.6048534512519836,0.07027435302734375,0.40375208854675293,0.6014041900634766
42,0.06797628849744797,0.42610523104667664,1.9999999494757503e-05,0.5815249681472778,0.0557759590446949,0.42488381266593933,0.5834525227546692
43,0.06028886139392853,0.4289710521697998,3.999999989900971e-06,0.5787476897239685,0.0625203475356102,0.4420621395111084,0.5672934651374817
44,0.06464779376983643,0.45139676332473755,3.999999989900971e-06,0.5563308000564575,0.05290476605296135,0.4502270519733429,0.555385172367096
45,0.05967365577816963,0.42025864124298096,3.999999989900971e-06,0.5864914059638977,0.06675466150045395,0.4737560451030731,0.5360861420631409
46,0.056628141552209854,0.421560138463974,3.999999989900971e-06,0.5845106840133667,0.0639902725815773,0.45052096247673035,0.5605812668800354
47,0.06461288034915924,0.44675886631011963,3.999999989900971e-06,0.5606735348701477,0.05805714800953865,0.47079017758369446,0.535585880279541
48,0.06331472843885422,0.4311353266239166,8.000000093488779e-07,0.5758790373802185,0.0560811348259449,0.43013206124305725,0.5774052143096924
49,0.05945957079529762,0.4163593053817749,8.000000093488779e-07,0.5915296673774719,0.04565175250172615,0.4114913046360016,0.5922711491584778
